nama_provinsi,bps_nama_kabupaten_kota,lokasi,jumlah_jukir,satuan,tahun,Latittude,Longitude
JAWA BARAT,KOTA BANDUNG,JL. CIPAERA,4,ORANG,2021,-6.90222,107.62472
JAWA BARAT,KOTA BANDUNG,JL. HALIMUN,2,ORANG,2021,-6.92000,107.62750
JAWA BARAT,KOTA BANDUNG,JL. GEMPOL,1,ORANG,2021,-6.90222,107.61056
JAWA BARAT,KOTA BANDUNG,JL. PUSDAI,1,ORANG,2021,-6.89750,107.62361
JAWA BARAT,KOTA BANDUNG,JL. SERAYU,1,ORANG,2021,-6.90694,107.62139
JAWA BARAT,KOTA BANDUNG,JL. LOMBOK,2,ORANG,2021,-6.91250,107.61667
JAWA BARAT,KOTA BANDUNG,JL. TERS. JAKARTA,2,ORANG,2021,-6.90806,107.63389
JAWA BARAT,KOTA BANDUNG,JL. PURWAKARTA,4,ORANG,2021,-6.91000,107.63806
JAWA BARAT,KOTA BANDUNG,JL. INDRAMAYU,1,ORANG,2021,-6.91139,107.63861
JAWA BARAT,KOTA BANDUNG,JL. MAHMUD,1,ORANG,2021,-6.91139,107.59500
JAWA BARAT,KOTA BANDUNG,JL. SOKA,1,ORANG,2021,-6.91333,107.62472
JAWA BARAT,KOTA BANDUNG,JL. ABDURAHMAN SALEH,5,ORANG,2021,-6.89333,107.59667
JAWA BARAT,KOTA BANDUNG,JL. JAMIKA,5,ORANG,2021,-6.92611,107.58528
JAWA BARAT,KOTA BANDUNG,JL. TERNATE,2,ORANG,2021,-6.91167,107.61444
JAWA BARAT,KOTA BANDUNG,JL. CILAKI,5,ORANG,2021,-6.91000,107.61917
JAWA BARAT,KOTA BANDUNG,JL. ACHMAD YANI,53,ORANG,2021,-6.90806,107.63000
JAWA BARAT,KOTA BANDUNG,JL. CILIWUNG,1,ORANG,2021,-6.90556,107.61778
JAWA BARAT,KOTA BANDUNG,JL. LEUWIPANJANG,5,ORANG,2021,-6.94583,107.58611
JAWA BARAT,KOTA BANDUNG,JL. CIMANUK,1,ORANG,2021,-6.90889,107.61611
JAWA BARAT,KOTA BANDUNG,JL. BUAH BATU,14,ORANG,2021,-6.94056,107.63167
JAWA BARAT,KOTA BANDUNG,JL. PETA,2,ORANG,2021,-6.93722,107.59278
JAWA BARAT,KOTA BANDUNG,JL. CIHAMPELAS,22,ORANG,2021,-6.89694,107.59917
JAWA BARAT,KOTA BANDUNG,JL. TEUKU UMAR,2,ORANG,2021,-6.89611,107.60833
JAWA BARAT,KOTA BANDUNG,JL. SULTAN AGUNG,4,ORANG,2021,-6.90528,107.61333
JAWA BARAT,KOTA BANDUNG,JL. AMBON,5,ORANG,2021,-6.90944,107.61528
JAWA BARAT,KOTA BANDUNG,JL. BURANGRANG,19,ORANG,2021,-6.92722,107.61556
JAWA BARAT,KOTA BANDUNG,JL. DR. RAJIMAN,7,ORANG,2021,-6.91444,107.59472
JAWA BARAT,KOTA BANDUNG,JL. CISANGKUY,1,ORANG,2021,-6.90667,107.61639
JAWA BARAT,KOTA BANDUNG,JL. PURNAWARMAN,1,ORANG,2021,-6.90722,107.60944
JAWA BARAT,KOTA BANDUNG,JL. RANGGA GADING,8,ORANG,2021,-6.92056,107.61194
JAWA BARAT,KOTA BANDUNG,JL. CIANJUR,4,ORANG,2021,-6.91139,107.62000
JAWA BARAT,KOTA BANDUNG,JL. SULANJANA,2,ORANG,2021,-6.90528,107.61056
JAWA BARAT,KOTA BANDUNG,JL. DIPATI UKUR,12,ORANG,2021,-6.89194,107.61361
JAWA BARAT,KOTA BANDUNG,JL. BAWEAN,2,ORANG,2021,-6.91694,107.61500
JAWA BARAT,KOTA BANDUNG,JL. BKR,1,ORANG,2021,-6.94056,107.61444
JAWA BARAT,KOTA BANDUNG,JL. KARAWITAN,2,ORANG,2021,-6.94222,107.62722
JAWA BARAT,KOTA BANDUNG,JL. CIBADUYUT,10,ORANG,2021,-6.96333,107.58750
JAWA BARAT,KOTA BANDUNG,TAMAN EYCKMAN,4,ORANG,2021,-6.88944,107.60250
JAWA BARAT,KOTA BANDUNG,PELATARAN PARKIR TERMINAL LEUWI PANJANG,8,ORANG,2021,-6.94694,107.58611
JAWA BARAT,KOTA BANDUNG,PELATARAN PARKIR TERMINAL CIROYOM,2,ORANG,2021,-6.91306,107.59056
JAWA BARAT,KOTA BANDUNG,JL. TERS. BUAH BATU,5,ORANG,2021,-6.94611,107.63667
JAWA BARAT,KOTA BANDUNG,JL. MARGACINTA,2,ORANG,2021,-6.95361,107.64028
JAWA BARAT,KOTA BANDUNG,JL. CIJERAH,5,ORANG,2021,-6.91611,107.56778
JAWA BARAT,KOTA BANDUNG,JL. HOLIS,3,ORANG,2021,-6.92444,107.57500
JAWA BARAT,KOTA BANDUNG,JL. RUMAH SAKIT UJUNG BERUNG,12,ORANG,2021,-6.90389,107.72139
JAWA BARAT,KOTA BANDUNG,JL. KAUM,6,ORANG,2021,-6.92222,107.60639
JAWA BARAT,KOTA BANDUNG,JL. IR. H. DJUANDA,1,ORANG,2021,-6.89250,107.61250
JAWA BARAT,KOTA BANDUNG,JL. RUMAH SAKIT,6,ORANG,2021,-6.90389,107.72139
JAWA BARAT,KOTA BANDUNG,JL. SETIABUDHI,2,ORANG,2021,-6.86694,107.59250
